hostNC,hostphylum,hostclass,hostorder,hostfamily,hostgenus
NC_000913.3,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NC_000962.3,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
NC_000964.3,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_002163.1,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
NC_002516.2,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NC_002662.1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
NC_002695.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NC_002696.2,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
NC_002737.2,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
NC_002976.3,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NC_003155.5,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NC_003197.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_003210.1,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria
NC_003888.3,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
NC_003910.7,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
NC_003911.12,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria
NC_004337.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
NC_004459.3,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NC_004547.2,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium
NC_004556.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella
NC_004557.1,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
NC_004603.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NC_004631.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_004722.1,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_005042.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_005070.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Parasynechococcus
NC_005071.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_005072.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_005835.1,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus
NC_005966.1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
NC_006461.1,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus
NC_006510.1,Bacillota,Bacilli,Bacillales,Bacillaceae,Geobacillus
NC_006511.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
NC_006834.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NC_007086.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NC_007205.1,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter
NC_007335.2,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus
NC_007384.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
NC_007530.2,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
NC_007604.1,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus
NC_007633.1,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
NC_007712.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis
