phage,phy,scorephy
NC_048746.1,Mycoplasmatota,0
NC_048746.1,Spirochaetota,0
NC_048746.1,Cyanobacteriota,0
NC_048746.1,Bacillota,0
NC_048746.1,Bacteroidota,0
NC_048746.1,Rhodothermota,0
NC_048746.1,Pseudomonadota,0
NC_048746.1,Bdellovibrionota,0
NC_048746.1,Deinococcota,0
NC_048746.1,Chlamydiota,0
NC_048746.1,Actinomycetota,1
NC_048746.1,Campylobacterota,0
NC_051587.1,Mycoplasmatota,0
NC_051587.1,Spirochaetota,0
NC_051587.1,Cyanobacteriota,0
NC_051587.1,Bacillota,0
NC_051587.1,Bacteroidota,0
NC_051587.1,Rhodothermota,0
NC_051587.1,Pseudomonadota,0
NC_051587.1,Bdellovibrionota,0
NC_051587.1,Deinococcota,0
NC_051587.1,Chlamydiota,0
NC_051587.1,Actinomycetota,1
NC_051587.1,Campylobacterota,0
NC_054941.1,Mycoplasmatota,0
NC_054941.1,Spirochaetota,0
NC_054941.1,Cyanobacteriota,0
NC_054941.1,Bacillota,0
NC_054941.1,Bacteroidota,0
NC_054941.1,Rhodothermota,0
NC_054941.1,Pseudomonadota,1
NC_054941.1,Bdellovibrionota,0
NC_054941.1,Deinococcota,0
NC_054941.1,Chlamydiota,0
NC_054941.1,Actinomycetota,0
NC_054941.1,Campylobacterota,0
NC_028988.1,Mycoplasmatota,0
NC_028988.1,Spirochaetota,0
NC_028988.1,Cyanobacteriota,0
NC_028988.1,Bacillota,0
NC_028988.1,Bacteroidota,0
NC_028988.1,Rhodothermota,0
NC_028988.1,Pseudomonadota,1
NC_028988.1,Bdellovibrionota,0
NC_028988.1,Deinococcota,0
NC_028988.1,Chlamydiota,0
NC_028988.1,Actinomycetota,0
NC_028988.1,Campylobacterota,0
NC_049384.1,Mycoplasmatota,0
NC_049384.1,Spirochaetota,0
NC_049384.1,Cyanobacteriota,0
NC_049384.1,Bacillota,0
NC_049384.1,Bacteroidota,0
NC_049384.1,Rhodothermota,0
NC_049384.1,Pseudomonadota,1
NC_049384.1,Bdellovibrionota,0
NC_049384.1,Deinococcota,0
NC_049384.1,Chlamydiota,0
NC_049384.1,Actinomycetota,0
NC_049384.1,Campylobacterota,0
NC_004615.1,Mycoplasmatota,0
NC_004615.1,Spirochaetota,0
NC_004615.1,Cyanobacteriota,0
NC_004615.1,Bacillota,1
NC_004615.1,Bacteroidota,0
NC_004615.1,Rhodothermota,0
NC_004615.1,Pseudomonadota,0
NC_004615.1,Bdellovibrionota,0
NC_004615.1,Deinococcota,0
NC_004615.1,Chlamydiota,0
NC_004615.1,Actinomycetota,0
NC_004615.1,Campylobacterota,0
NC_028665.1,Mycoplasmatota,0
NC_028665.1,Spirochaetota,0
NC_028665.1,Cyanobacteriota,0
NC_028665.1,Bacillota,0
NC_028665.1,Bacteroidota,0
NC_028665.1,Rhodothermota,0
NC_028665.1,Pseudomonadota,0
NC_028665.1,Bdellovibrionota,0
NC_028665.1,Deinococcota,0
NC_028665.1,Chlamydiota,0
NC_028665.1,Actinomycetota,1
NC_028665.1,Campylobacterota,0
NC_029120.1,Mycoplasmatota,0
NC_029120.1,Spirochaetota,0
NC_029120.1,Cyanobacteriota,0
NC_029120.1,Bacillota,0
NC_029120.1,Bacteroidota,0
NC_029120.1,Rhodothermota,0
NC_029120.1,Pseudomonadota,1
NC_029120.1,Bdellovibrionota,0
NC_029120.1,Deinococcota,0
NC_029120.1,Chlamydiota,0
NC_029120.1,Actinomycetota,0
NC_029120.1,Campylobacterota,0
NC_054930.1,Mycoplasmatota,0
NC_054930.1,Spirochaetota,0
NC_054930.1,Cyanobacteriota,0
NC_054930.1,Bacillota,0
NC_054930.1,Bacteroidota,0
NC_054930.1,Rhodothermota,0
NC_054930.1,Pseudomonadota,1
NC_054930.1,Bdellovibrionota,0
NC_054930.1,Deinococcota,0
NC_054930.1,Chlamydiota,0
NC_054930.1,Actinomycetota,0
NC_054930.1,Campylobacterota,0
NC_019717.1,Mycoplasmatota,0
NC_019717.1,Spirochaetota,0
NC_019717.1,Cyanobacteriota,0
NC_019717.1,Bacillota,0
NC_019717.1,Bacteroidota,0
NC_019717.1,Rhodothermota,0
NC_019717.1,Pseudomonadota,1
NC_019717.1,Bdellovibrionota,0
NC_019717.1,Deinococcota,0
NC_019717.1,Chlamydiota,0
NC_019717.1,Actinomycetota,0
NC_019717.1,Campylobacterota,0
NC_026595.1,Mycoplasmatota,0
NC_026595.1,Spirochaetota,0
NC_026595.1,Cyanobacteriota,0
NC_026595.1,Bacillota,0
NC_026595.1,Bacteroidota,0
NC_026595.1,Rhodothermota,0
NC_026595.1,Pseudomonadota,0
NC_026595.1,Bdellovibrionota,0
NC_026595.1,Deinococcota,0
NC_026595.1,Chlamydiota,0
NC_026595.1,Actinomycetota,1
NC_026595.1,Campylobacterota,0
NC_048076.1,Mycoplasmatota,0
NC_048076.1,Spirochaetota,0
NC_048076.1,Cyanobacteriota,0
NC_048076.1,Bacillota,0
NC_048076.1,Bacteroidota,0
NC_048076.1,Rhodothermota,0
NC_048076.1,Pseudomonadota,1
NC_048076.1,Bdellovibrionota,0
NC_048076.1,Deinococcota,0
NC_048076.1,Chlamydiota,0
NC_048076.1,Actinomycetota,0
NC_048076.1,Campylobacterota,0
NC_054971.1,Mycoplasmatota,0
NC_054971.1,Spirochaetota,0
NC_054971.1,Cyanobacteriota,0
NC_054971.1,Bacillota,0
NC_054971.1,Bacteroidota,0
NC_054971.1,Rhodothermota,0
NC_054971.1,Pseudomonadota,1
NC_054971.1,Bdellovibrionota,0
NC_054971.1,Deinococcota,0
NC_054971.1,Chlamydiota,0
NC_054971.1,Actinomycetota,0
NC_054971.1,Campylobacterota,0
NC_051663.1,Mycoplasmatota,0
NC_051663.1,Spirochaetota,0
NC_051663.1,Cyanobacteriota,0
NC_051663.1,Bacillota,0
NC_051663.1,Bacteroidota,0
NC_051663.1,Rhodothermota,0
NC_051663.1,Pseudomonadota,0
NC_051663.1,Bdellovibrionota,0
NC_051663.1,Deinococcota,0
NC_051663.1,Chlamydiota,0
NC_051663.1,Actinomycetota,1
NC_051663.1,Campylobacterota,0
NC_018838.1,Mycoplasmatota,0
NC_018838.1,Spirochaetota,0
NC_018838.1,Cyanobacteriota,0
NC_018838.1,Bacillota,0
NC_018838.1,Bacteroidota,0
NC_018838.1,Rhodothermota,0
NC_018838.1,Pseudomonadota,0
NC_018838.1,Bdellovibrionota,0
NC_018838.1,Deinococcota,0
NC_018838.1,Chlamydiota,0
NC_018838.1,Actinomycetota,1
NC_018838.1,Campylobacterota,0
NC_049443.1,Mycoplasmatota,0
NC_049443.1,Spirochaetota,0
NC_049443.1,Cyanobacteriota,0
NC_049443.1,Bacillota,0
NC_049443.1,Bacteroidota,0
NC_049443.1,Rhodothermota,0
NC_049443.1,Pseudomonadota,1
NC_049443.1,Bdellovibrionota,0
NC_049443.1,Deinococcota,0
NC_049443.1,Chlamydiota,0
NC_049443.1,Actinomycetota,0
NC_049443.1,Campylobacterota,0
NC_028861.1,Mycoplasmatota,0
NC_028861.1,Spirochaetota,0
NC_028861.1,Cyanobacteriota,0
NC_028861.1,Bacillota,0
NC_028861.1,Bacteroidota,0
NC_028861.1,Rhodothermota,0
NC_028861.1,Pseudomonadota,0
NC_028861.1,Bdellovibrionota,0
NC_028861.1,Deinococcota,0
NC_028861.1,Chlamydiota,0
NC_028861.1,Actinomycetota,1
NC_028861.1,Campylobacterota,0
NC_005342.2,Mycoplasmatota,0
NC_005342.2,Spirochaetota,0
NC_005342.2,Cyanobacteriota,0
NC_005342.2,Bacillota,0
NC_005342.2,Bacteroidota,0
NC_005342.2,Rhodothermota,0
NC_005342.2,Pseudomonadota,1
NC_005342.2,Bdellovibrionota,0
NC_005342.2,Deinococcota,0
NC_005342.2,Chlamydiota,0
