phage,cla,scorecla
NC_010326.1,Clostridia,0
NC_010326.1,Bacilli,0
NC_010326.1,Rhodothermia,0
NC_010326.1,Flavobacteriia,0
NC_010326.1,Chlamydiia,0
NC_010326.1,Actinomycetes,0
NC_010326.1,Bacteroidia,0
NC_010326.1,Mollicutes,0
NC_010326.1,Epsilonproteobacteria,0
NC_010326.1,Gammaproteobacteria,1
NC_010326.1,Alphaproteobacteria,0
NC_010326.1,Bdellovibrionia,0
NC_010326.1,Spirochaetia,0
NC_010326.1,Deinococci,0
NC_010326.1,Betaproteobacteria,0
NC_010326.1,Cyanophyceae,0
NC_041940.1,Clostridia,0
NC_041940.1,Bacilli,0
NC_041940.1,Rhodothermia,0
NC_041940.1,Flavobacteriia,0
NC_041940.1,Chlamydiia,0
NC_041940.1,Actinomycetes,1
NC_041940.1,Bacteroidia,0
NC_041940.1,Mollicutes,0
NC_041940.1,Epsilonproteobacteria,0
NC_041940.1,Gammaproteobacteria,0
NC_041940.1,Alphaproteobacteria,0
NC_041940.1,Bdellovibrionia,0
NC_041940.1,Spirochaetia,0
NC_041940.1,Deinococci,0
NC_041940.1,Betaproteobacteria,0
NC_041940.1,Cyanophyceae,0
NC_047983.1,Clostridia,0
NC_047983.1,Bacilli,1
NC_047983.1,Rhodothermia,0
NC_047983.1,Flavobacteriia,0
NC_047983.1,Chlamydiia,0
NC_047983.1,Actinomycetes,0
NC_047983.1,Bacteroidia,0
NC_047983.1,Mollicutes,0
NC_047983.1,Epsilonproteobacteria,0
NC_047983.1,Gammaproteobacteria,0
NC_047983.1,Alphaproteobacteria,0
NC_047983.1,Bdellovibrionia,0
NC_047983.1,Spirochaetia,0
NC_047983.1,Deinococci,0
NC_047983.1,Betaproteobacteria,0
NC_047983.1,Cyanophyceae,0
NC_047714.1,Clostridia,0
NC_047714.1,Bacilli,0
NC_047714.1,Rhodothermia,0
NC_047714.1,Flavobacteriia,0
NC_047714.1,Chlamydiia,0
NC_047714.1,Actinomycetes,0
NC_047714.1,Bacteroidia,0
NC_047714.1,Mollicutes,0
NC_047714.1,Epsilonproteobacteria,0
NC_047714.1,Gammaproteobacteria,0
NC_047714.1,Alphaproteobacteria,0
NC_047714.1,Bdellovibrionia,0
NC_047714.1,Spirochaetia,0
NC_047714.1,Deinococci,0
NC_047714.1,Betaproteobacteria,0
NC_047714.1,Cyanophyceae,1
NC_042044.1,Clostridia,0
NC_042044.1,Bacilli,0
NC_042044.1,Rhodothermia,0
NC_042044.1,Flavobacteriia,0
NC_042044.1,Chlamydiia,0
NC_042044.1,Actinomycetes,0
NC_042044.1,Bacteroidia,0
NC_042044.1,Mollicutes,0
NC_042044.1,Epsilonproteobacteria,0
NC_042044.1,Gammaproteobacteria,1
NC_042044.1,Alphaproteobacteria,0
NC_042044.1,Bdellovibrionia,0
NC_042044.1,Spirochaetia,0
NC_042044.1,Deinococci,0
NC_042044.1,Betaproteobacteria,0
NC_042044.1,Cyanophyceae,0
NC_049501.1,Clostridia,0
NC_049501.1,Bacilli,0
NC_049501.1,Rhodothermia,0
NC_049501.1,Flavobacteriia,0
NC_049501.1,Chlamydiia,0
NC_049501.1,Actinomycetes,0
NC_049501.1,Bacteroidia,0
NC_049501.1,Mollicutes,0
NC_049501.1,Epsilonproteobacteria,0
NC_049501.1,Gammaproteobacteria,1
NC_049501.1,Alphaproteobacteria,0
NC_049501.1,Bdellovibrionia,0
NC_049501.1,Spirochaetia,0
NC_049501.1,Deinococci,0
NC_049501.1,Betaproteobacteria,0
NC_049501.1,Cyanophyceae,0
NC_054784.1,Clostridia,0
NC_054784.1,Bacilli,0
NC_054784.1,Rhodothermia,0
NC_054784.1,Flavobacteriia,0
NC_054784.1,Chlamydiia,0
NC_054784.1,Actinomycetes,1
NC_054784.1,Bacteroidia,0
NC_054784.1,Mollicutes,0
NC_054784.1,Epsilonproteobacteria,0
NC_054784.1,Gammaproteobacteria,0
NC_054784.1,Alphaproteobacteria,0
NC_054784.1,Bdellovibrionia,0
NC_054784.1,Spirochaetia,0
NC_054784.1,Deinococci,0
NC_054784.1,Betaproteobacteria,0
NC_054784.1,Cyanophyceae,0
NC_052990.1,Clostridia,0
NC_052990.1,Bacilli,0
NC_052990.1,Rhodothermia,0
NC_052990.1,Flavobacteriia,0
NC_052990.1,Chlamydiia,0
NC_052990.1,Actinomycetes,0
NC_052990.1,Bacteroidia,0
NC_052990.1,Mollicutes,0
NC_052990.1,Epsilonproteobacteria,0
NC_052990.1,Gammaproteobacteria,1
NC_052990.1,Alphaproteobacteria,0
NC_052990.1,Bdellovibrionia,0
NC_052990.1,Spirochaetia,0
NC_052990.1,Deinococci,0
NC_052990.1,Betaproteobacteria,0
NC_052990.1,Cyanophyceae,0
NC_042094.1,Clostridia,0
NC_042094.1,Bacilli,0
NC_042094.1,Rhodothermia,0
NC_042094.1,Flavobacteriia,0
NC_042094.1,Chlamydiia,0
NC_042094.1,Actinomycetes,0
NC_042094.1,Bacteroidia,0
NC_042094.1,Mollicutes,0
NC_042094.1,Epsilonproteobacteria,0
NC_042094.1,Gammaproteobacteria,1
NC_042094.1,Alphaproteobacteria,0
NC_042094.1,Bdellovibrionia,0
NC_042094.1,Spirochaetia,0
NC_042094.1,Deinococci,0
NC_042094.1,Betaproteobacteria,0
NC_042094.1,Cyanophyceae,0
NC_048021.1,Clostridia,0
NC_048021.1,Bacilli,0
NC_048021.1,Rhodothermia,0
NC_048021.1,Flavobacteriia,0
NC_048021.1,Chlamydiia,0
NC_048021.1,Actinomycetes,1
NC_048021.1,Bacteroidia,0
NC_048021.1,Mollicutes,0
NC_048021.1,Epsilonproteobacteria,0
NC_048021.1,Gammaproteobacteria,0
NC_048021.1,Alphaproteobacteria,0
NC_048021.1,Bdellovibrionia,0
NC_048021.1,Spirochaetia,0
NC_048021.1,Deinococci,0
NC_048021.1,Betaproteobacteria,0
NC_048021.1,Cyanophyceae,0
NC_054439.1,Clostridia,0
NC_054439.1,Bacilli,0
NC_054439.1,Rhodothermia,0
NC_054439.1,Flavobacteriia,0
NC_054439.1,Chlamydiia,0
NC_054439.1,Actinomycetes,1
NC_054439.1,Bacteroidia,0
NC_054439.1,Mollicutes,0
NC_054439.1,Epsilonproteobacteria,0
NC_054439.1,Gammaproteobacteria,0
NC_054439.1,Alphaproteobacteria,0
NC_054439.1,Bdellovibrionia,0
NC_054439.1,Spirochaetia,0
NC_054439.1,Deinococci,0
NC_054439.1,Betaproteobacteria,0
NC_054439.1,Cyanophyceae,0
NC_028923.1,Clostridia,0
NC_028923.1,Bacilli,0
NC_028923.1,Rhodothermia,0
NC_028923.1,Flavobacteriia,0
NC_028923.1,Chlamydiia,0
NC_028923.1,Actinomycetes,1
NC_028923.1,Bacteroidia,0
NC_028923.1,Mollicutes,0
NC_028923.1,Epsilonproteobacteria,0
NC_028923.1,Gammaproteobacteria,0
NC_028923.1,Alphaproteobacteria,0
NC_028923.1,Bdellovibrionia,0
NC_028923.1,Spirochaetia,0
NC_028923.1,Deinococci,0
NC_028923.1,Betaproteobacteria,0
NC_028923.1,Cyanophyceae,0
NC_052965.1,Clostridia,0
NC_052965.1,Bacilli,0
NC_052965.1,Rhodothermia,0
NC_052965.1,Flavobacteriia,0
NC_052965.1,Chlamydiia,0
NC_052965.1,Actinomycetes,0
NC_052965.1,Bacteroidia,0
NC_052965.1,Mollicutes,0
NC_052965.1,Epsilonproteobacteria,0
NC_052965.1,Gammaproteobacteria,1
NC_052965.1,Alphaproteobacteria,0
NC_052965.1,Bdellovibrionia,0
NC_052965.1,Spirochaetia,0
NC_052965.1,Deinococci,0
NC_052965.1,Betaproteobacteria,0
NC_052965.1,Cyanophyceae,0
NC_047896.1,Clostridia,0
NC_047896.1,Bacilli,0
NC_047896.1,Rhodothermia,0
NC_047896.1,Flavobacteriia,0
NC_047896.1,Chlamydiia,0
NC_047896.1,Actinomycetes,0
NC_047896.1,Bacteroidia,0
NC_047896.1,Mollicutes,0
NC_047896.1,Epsilonproteobacteria,0
NC_047896.1,Gammaproteobacteria,1
NC_047896.1,Alphaproteobacteria,0
NC_047896.1,Bdellovibrionia,0
NC_047896.1,Spirochaetia,0
NC_047896.1,Deinococci,0
NC_047896.1,Betaproteobacteria,0
NC_047896.1,Cyanophyceae,0
NC_007019.1,Clostridia,0
NC_007019.1,Bacilli,1
NC_007019.1,Rhodothermia,0
NC_007019.1,Flavobacteriia,0
NC_007019.1,Chlamydiia,0
NC_007019.1,Actinomycetes,0
NC_007019.1,Bacteroidia,0
NC_007019.1,Mollicutes,0
NC_007019.1,Epsilonproteobacteria,0
NC_007019.1,Gammaproteobacteria,0
NC_007019.1,Alphaproteobacteria,0
NC_007019.1,Bdellovibrionia,0
NC_007019.1,Spirochaetia,0
NC_007019.1,Deinococci,0
NC_007019.1,Betaproteobacteria,0
NC_007019.1,Cyanophyceae,0
NC_052463.1,Clostridia,0
NC_052463.1,Bacilli,0
NC_052463.1,Rhodothermia,0
NC_052463.1,Flavobacteriia,0
NC_052463.1,Chlamydiia,0
NC_052463.1,Actinomycetes,1
NC_052463.1,Bacteroidia,0
NC_052463.1,Mollicutes,0
NC_052463.1,Epsilonproteobacteria,0
NC_052463.1,Gammaproteobacteria,0
NC_052463.1,Alphaproteobacteria,0
NC_052463.1,Bdellovibrionia,0
NC_052463.1,Spirochaetia,0
NC_052463.1,Deinococci,0
NC_052463.1,Betaproteobacteria,0
NC_052463.1,Cyanophyceae,0
NC_019722.1,Clostridia,0
NC_019722.1,Bacilli,0
NC_019722.1,Rhodothermia,0
NC_019722.1,Flavobacteriia,0
NC_019722.1,Chlamydiia,0
NC_019722.1,Actinomycetes,0
NC_019722.1,Bacteroidia,0
NC_019722.1,Mollicutes,0
NC_019722.1,Epsilonproteobacteria,0
NC_019722.1,Gammaproteobacteria,1
NC_019722.1,Alphaproteobacteria,0
NC_019722.1,Bdellovibrionia,0
NC_019722.1,Spirochaetia,0
NC_019722.1,Deinococci,0
NC_019722.1,Betaproteobacteria,0
NC_019722.1,Cyanophyceae,0
NC_028977.1,Clostridia,0
NC_028977.1,Bacilli,0
NC_028977.1,Rhodothermia,0
NC_028977.1,Flavobacteriia,0
NC_028977.1,Chlamydiia,0
NC_028977.1,Actinomycetes,0
NC_028977.1,Bacteroidia,0
NC_028977.1,Mollicutes,0
NC_028977.1,Epsilonproteobacteria,0
NC_028977.1,Gammaproteobacteria,1
NC_028977.1,Alphaproteobacteria,0
NC_028977.1,Bdellovibrionia,0
NC_028977.1,Spirochaetia,0
NC_028977.1,Deinococci,0
NC_028977.1,Betaproteobacteria,0
NC_028977.1,Cyanophyceae,0
NC_048693.1,Clostridia,0
NC_048693.1,Bacilli,1
NC_048693.1,Rhodothermia,0
NC_048693.1,Flavobacteriia,0
NC_048693.1,Chlamydiia,0
NC_048693.1,Actinomycetes,0
NC_048693.1,Bacteroidia,0
NC_048693.1,Mollicutes,0
NC_048693.1,Epsilonproteobacteria,0
NC_048693.1,Gammaproteobacteria,0
NC_048693.1,Alphaproteobacteria,0
NC_048693.1,Bdellovibrionia,0
NC_048693.1,Spirochaetia,0
NC_048693.1,Deinococci,0
NC_048693.1,Betaproteobacteria,0
NC_048693.1,Cyanophyceae,0
NC_019709.1,Clostridia,0
NC_019709.1,Bacilli,0
NC_019709.1,Rhodothermia,0
NC_019709.1,Flavobacteriia,0
NC_019709.1,Chlamydiia,0
NC_019709.1,Actinomycetes,0
NC_019709.1,Bacteroidia,0
NC_019709.1,Mollicutes,0
NC_019709.1,Epsilonproteobacteria,0
NC_019709.1,Gammaproteobacteria,1
NC_019709.1,Alphaproteobacteria,0
NC_019709.1,Bdellovibrionia,0
NC_019709.1,Spirochaetia,0
NC_019709.1,Deinococci,0
NC_019709.1,Betaproteobacteria,0
NC_019709.1,Cyanophyceae,0
NC_013650.1,Clostridia,0
NC_013650.1,Bacilli,0
NC_013650.1,Rhodothermia,0
NC_013650.1,Flavobacteriia,0
NC_013650.1,Chlamydiia,0
NC_013650.1,Actinomycetes,1
NC_013650.1,Bacteroidia,0
NC_013650.1,Mollicutes,0
NC_013650.1,Epsilonproteobacteria,0
NC_013650.1,Gammaproteobacteria,0
NC_013650.1,Alphaproteobacteria,0
NC_013650.1,Bdellovibrionia,0
NC_013650.1,Spirochaetia,0
NC_013650.1,Deinococci,0
