phage,ord,scoreord
NC_018452.1,Mycobacteriales,0
NC_018452.1,Thermoanaerobacterales,0
NC_018452.1,Enterobacterales,0
NC_018452.1,Mycoplasmatales,0
NC_018452.1,Campylobacterales,0
NC_018452.1,Sphingomonadales,0
NC_018452.1,Entomoplasmatales,0
NC_018452.1,Kitasatosporales,0
NC_018452.1,Hyphomicrobiales,0
NC_018452.1,Synechococcales,0
NC_018452.1,Leptospirales,0
NC_018452.1,Bdellovibrionales,0
NC_018452.1,Pseudomonadales,0
NC_018452.1,Nostocales,0
NC_018452.1,Chlamydiales,0
NC_018452.1,Actinomycetales,0
NC_018452.1,Propionibacteriales,0
NC_018452.1,Aeromonadales,0
NC_018452.1,Eubacteriales,0
NC_018452.1,Xanthomonadales,0
NC_018452.1,Bacteroidales,0
NC_018452.1,Pasteurellales,0
NC_018452.1,Bifidobacteriales,0
NC_018452.1,Candidatus Pelagibacterales,0
NC_018452.1,Caulobacterales,0
NC_018452.1,Alteromonadales,0
NC_018452.1,Bacillales,0
NC_018452.1,Oscillatoriales,0
NC_018452.1,Micrococcales,0
NC_018452.1,Rhodothermales,0
NC_018452.1,Rhodobacterales,0
NC_018452.1,Vibrionales,0
NC_018452.1,Thermales,0
NC_018452.1,Moraxellales,0
NC_018452.1,Burkholderiales,1
NC_018452.1,Lactobacillales,0
NC_018452.1,Flavobacteriales,0
NC_049821.1,Mycobacteriales,0
NC_049821.1,Thermoanaerobacterales,0
NC_049821.1,Enterobacterales,1
NC_049821.1,Mycoplasmatales,0
NC_049821.1,Campylobacterales,0
NC_049821.1,Sphingomonadales,0
NC_049821.1,Entomoplasmatales,0
NC_049821.1,Kitasatosporales,0
NC_049821.1,Hyphomicrobiales,0
NC_049821.1,Synechococcales,0
NC_049821.1,Leptospirales,0
NC_049821.1,Bdellovibrionales,0
NC_049821.1,Pseudomonadales,0
NC_049821.1,Nostocales,0
NC_049821.1,Chlamydiales,0
NC_049821.1,Actinomycetales,0
NC_049821.1,Propionibacteriales,0
NC_049821.1,Aeromonadales,0
NC_049821.1,Eubacteriales,0
NC_049821.1,Xanthomonadales,0
NC_049821.1,Bacteroidales,0
NC_049821.1,Pasteurellales,0
NC_049821.1,Bifidobacteriales,0
NC_049821.1,Candidatus Pelagibacterales,0
NC_049821.1,Caulobacterales,0
NC_049821.1,Alteromonadales,0
NC_049821.1,Bacillales,0
NC_049821.1,Oscillatoriales,0
NC_049821.1,Micrococcales,0
NC_049821.1,Rhodothermales,0
NC_049821.1,Rhodobacterales,0
NC_049821.1,Vibrionales,0
NC_049821.1,Thermales,0
NC_049821.1,Moraxellales,0
NC_049821.1,Burkholderiales,0
NC_049821.1,Lactobacillales,0
NC_049821.1,Flavobacteriales,0
NC_048201.1,Mycobacteriales,0
NC_048201.1,Thermoanaerobacterales,0
NC_048201.1,Enterobacterales,0
NC_048201.1,Mycoplasmatales,0
NC_048201.1,Campylobacterales,0
NC_048201.1,Sphingomonadales,0
NC_048201.1,Entomoplasmatales,0
NC_048201.1,Kitasatosporales,0
NC_048201.1,Hyphomicrobiales,0
NC_048201.1,Synechococcales,0
NC_048201.1,Leptospirales,0
NC_048201.1,Bdellovibrionales,0
NC_048201.1,Pseudomonadales,1
NC_048201.1,Nostocales,0
NC_048201.1,Chlamydiales,0
NC_048201.1,Actinomycetales,0
NC_048201.1,Propionibacteriales,0
NC_048201.1,Aeromonadales,0
NC_048201.1,Eubacteriales,0
NC_048201.1,Xanthomonadales,0
NC_048201.1,Bacteroidales,0
NC_048201.1,Pasteurellales,0
NC_048201.1,Bifidobacteriales,0
NC_048201.1,Candidatus Pelagibacterales,0
NC_048201.1,Caulobacterales,0
NC_048201.1,Alteromonadales,0
NC_048201.1,Bacillales,0
NC_048201.1,Oscillatoriales,0
NC_048201.1,Micrococcales,0
NC_048201.1,Rhodothermales,0
NC_048201.1,Rhodobacterales,0
NC_048201.1,Vibrionales,0
NC_048201.1,Thermales,0
NC_048201.1,Moraxellales,0
NC_048201.1,Burkholderiales,0
NC_048201.1,Lactobacillales,0
NC_048201.1,Flavobacteriales,0
NC_027985.1,Mycobacteriales,1
NC_027985.1,Thermoanaerobacterales,0
NC_027985.1,Enterobacterales,0
NC_027985.1,Mycoplasmatales,0
NC_027985.1,Campylobacterales,0
NC_027985.1,Sphingomonadales,0
NC_027985.1,Entomoplasmatales,0
NC_027985.1,Kitasatosporales,0
NC_027985.1,Hyphomicrobiales,0
NC_027985.1,Synechococcales,0
NC_027985.1,Leptospirales,0
NC_027985.1,Bdellovibrionales,0
NC_027985.1,Pseudomonadales,0
NC_027985.1,Nostocales,0
NC_027985.1,Chlamydiales,0
NC_027985.1,Actinomycetales,0
NC_027985.1,Propionibacteriales,0
NC_027985.1,Aeromonadales,0
NC_027985.1,Eubacteriales,0
NC_027985.1,Xanthomonadales,0
